า,"28, 753",,,
/,"81, 753",,,
_,"134, 753",,,
ภ,"187, 753",,,
ถ,"240, 753",,,
ุ,"293, 753",,,
ึ,"346, 753",,,
ค,"399, 753",,,
ต,"452, 753",,,
จ,"505, 753",,,
ข,"558, 753",,,
ช,"611, 753",,,
ๆ,"28, 839",,,
ไ,"81, 839",,,
ำ,"134, 839",,,
พ,"187, 839",,,
ะ,"240, 839",,,
ั,"293, 839",,,
ี,"346, 839",,,
ร,"399, 839",,,
น,"452, 839",,,
ย,"505, 839",,,
บ,"558, 839",,,
ล,"611, 839",,,
ฟ,"28, 925",,,
ห,"81, 925",,,
ก,"134, 925",,,
ด,"187, 925",,,
เ,"240, 925",,,
้,"293, 925",,,
่,"346, 925",,,
า,"399, 925",,,
ส,"452, 925",,,
ว,"505, 925",,,
ง,"558, 925",,,
ฃ,"611, 925",,,
ผ,"81, 1011",,,
ป,"134, 1011",,,
แ,"187, 1011",,,
อ,"240, 1011",,,
ิ,"293, 1011",,,
ื,"346, 1011",,,
ท,"399, 1011",,,
ม,"452, 1011",,,
ใ,"505, 1011",,,
ฝ,"558, 1011",,,
sl,"25, 1008",,,
sr,"25, 1008",,,
 ,"319, 1092",,,
enter,"613, 1006",,,